geo_key_id,geo_type,geo_value
182,county,08059
4478,county,08061
2238,county,08063
183,county,08065
184,county,08067
185,county,08069
186,county,08071
4099,county,08073
187,county,08075
188,county,08077
4479,county,08079
2290,county,08081
189,county,08083
190,county,08085
2023,county,08087
2118,county,08089
4480,county,08091
2200,county,08093
4481,county,08095
191,county,08097
2239,county,08099
192,county,08101
4482,county,08103
4483,county,08105
193,county,08107
4484,county,08109
4485,county,08111
4486,county,08113
4487,county,08115
194,county,08117
195,county,08119
2240,county,08121
196,county,08123
4488,county,08125
4104,county,09000
197,county,09001
198,county,09003
199,county,09005
200,county,09007
201,county,09009
202,county,09011
203,county,09013
204,county,09015
4108,county,10000
205,county,10001
206,county,10003
207,county,10005
5249,county,11000
208,county,11001
209,county,12000
210,county,12001
211,county,12003
212,county,12005
213,county,12007
214,county,12009
215,county,12011
216,county,12013
217,county,12015
218,county,12017
219,county,12019
220,county,12021
221,county,12023
2436,county,12027
222,county,12029
223,county,12031
224,county,12033
225,county,12035
226,county,12037
227,county,12039
228,county,12041
229,county,12043
4489,county,12045
230,county,12047
231,county,12049
232,county,12051
233,county,12053
234,county,12055
235,county,12057
236,county,12059
237,county,12061
238,county,12063
239,county,12065
2147,county,12067
240,county,12069
241,county,12071
242,county,12073
243,county,12075
4490,county,12077
244,county,12079
245,county,12081
246,county,12083
247,county,12085
248,county,12086
249,county,12087
250,county,12089
251,county,12091
4491,county,12093
252,county,12095
253,county,12097
254,county,12099
255,county,12101
256,county,12103
257,county,12105
258,county,12107
259,county,12109
260,county,12111
261,county,12113
262,county,12115
263,county,12117
264,county,12119
265,county,12121
266,county,12123
4492,county,12125
267,county,12127
4174,county,12129
268,county,12131
4493,county,12133
269,county,13000
270,county,13001
271,county,13003
272,county,13005
273,county,13007
274,county,13009
275,county,13011
276,county,13013
277,county,13015
278,county,13017
279,county,13019
280,county,13021
281,county,13023
282,county,13025
283,county,13027
284,county,13029
285,county,13031
286,county,13033
287,county,13035
288,county,13037
289,county,13039
2201,county,13043
290,county,13045
291,county,13047
4494,county,13049
292,county,13051
4495,county,13053
293,county,13055
294,county,13057
295,county,13059
296,county,13061
297,county,13063
298,county,13065
299,county,13067
300,county,13069
301,county,13071
302,county,13073
303,county,13075
304,county,13077
305,county,13079
306,county,13081
307,county,13083
308,county,13085
309,county,13087
310,county,13089
311,county,13091
312,county,13093
313,county,13095
314,county,13097
315,county,13099
316,county,13101
317,county,13103
318,county,13105
319,county,13107
320,county,13109
321,county,13111
322,county,13113
323,county,13115
324,county,13117
325,county,13119
326,county,13121
327,county,13123
328,county,13125
329,county,13127
2060,county,13129
330,county,13131
331,county,13133
332,county,13135
333,county,13137
334,county,13139
4496,county,13141
335,county,13143
336,county,13145
337,county,13147
4497,county,13149
338,county,13151
339,county,13153
340,county,13155
341,county,13157
342,county,13159
4498,county,13161
343,county,13163
4499,county,13165
344,county,13167
345,county,13169
346,county,13171
2340,county,13173
347,county,13175
2341,county,13177
348,county,13179
349,county,13181
350,county,13183
351,county,13185
4500,county,13187
2241,county,13189
352,county,13191
353,county,13193
354,county,13195
355,county,13197
356,county,13199
4501,county,13201
4502,county,13205
4503,county,13207
357,county,13209
358,county,13211
359,county,13213
360,county,13215
361,county,13217
4504,county,13219
2024,county,13221
362,county,13223
4505,county,13225
4506,county,13227
363,county,13229
364,county,13231
4156,county,13233
4507,county,13235
4508,county,13237
4509,county,13239
365,county,13241
4510,county,13243
366,county,13245
4118,county,13247
367,county,13249
368,county,13251
4511,county,13253
4119,county,13255
4512,county,13257
2342,county,13259
369,county,13261
2242,county,13263
4513,county,13265
4514,county,13267
2025,county,13269
370,county,13271
4515,county,13273
371,county,13275
372,county,13277
4516,county,13279
373,county,13281
4517,county,13283
374,county,13285
4518,county,13287
2202,county,13289
2385,county,13291
375,county,13293
376,county,13295
377,county,13297
378,county,13299
4519,county,13301
2148,county,13303
379,county,13305
4520,county,13307
4521,county,13309
4522,county,13311
380,county,13313
2291,county,13315
381,county,13317
2119,county,13319
4523,county,13321
2090,county,15000
382,county,15001
383,county,15003
4524,county,15005
384,county,15007
385,county,15009
386,county,16000
387,county,16001
4525,county,16003
388,county,16005
2149,county,16007
4526,county,16009
389,county,16011
390,county,16013
4527,county,16015
391,county,16017
392,county,16019
4528,county,16021
4529,county,16023
4530,county,16025
393,county,16027
4531,county,16029
394,county,16031
4532,county,16033
4533,county,16035
4534,county,16037
2292,county,16039
2243,county,16041
395,county,16043
396,county,16045
397,county,16047
4535,county,16049
4157,county,16051
398,county,16053
399,county,16055
400,county,16057
4536,county,16059
4537,county,16061
4538,county,16063
4120,county,16065
2150,county,16067
2244,county,16069
4539,county,16071
2151,county,16073
401,county,16075
4540,county,16077
4541,county,16079
4542,county,16081
402,county,16083
4543,county,16085
2343,county,16087
403,county,17000
404,county,17001
405,county,17003
406,county,17005
407,county,17007
4544,county,17009
408,county,17011
2245,county,17013
409,county,17015
410,county,17017
411,county,17019
412,county,17021
413,county,17023
414,county,17025
415,county,17027
416,county,17029
417,county,17031
2203,county,17033
2066,county,17035
418,county,17037
419,county,17039
4545,county,17041
420,county,17043
2026,county,17045
2414,county,17047
421,county,17049
422,county,17051
423,county,17053
424,county,17055
425,county,17057
2152,county,17059
426,county,17061
427,county,17063
2153,county,17065
428,county,17067
4546,county,17069
2437,county,17071
429,county,17073
430,county,17075
431,county,17077
2246,county,17079
432,county,17081
433,county,17083
434,county,17085
435,county,17087
436,county,17089
437,county,17091
438,county,17093
439,county,17095
440,county,17097
441,county,17099
442,county,17101
443,county,17103
444,county,17105
445,county,17107
446,county,17109
447,county,17111
448,county,17113
